top,position,temperature,qualite,vitesse
419658,82537071,2.1553834902803413,0.3100529516794682,66
419659,82537115,2.1553834902803413,0.3100529516794682,44
419660,82537119,2.1553834902803413,0.3100529516794682,4
419661,82537323,2.1553834902803413,0.3100529516794682,204
419662,82537600,2.1553834902803413,0.3100529516794682,277
419663,82537637,2.1553834902803413,0.3100529516794682,37
419664,82537840,2.1553834902803413,0.3100529516794682,203
419665,82538180,2.1553834902803413,0.3100529516794682,340
419666,82538430,2.1553834902803413,0.3100529516794682,250
419667,82538514,2.1553834902803413,0.3100529516794682,84
419668,82538858,2.1553834902803413,0.3100529516794682,344
419669,82539186,2.1553834902803413,0.3100529516794682,328
419670,82539335,2.1553834902803413,0.3100529516794682,149
419671,82539481,2.1553834902803413,0.3100529516794682,146
419672,82539538,2.1553834902803413,0.3100529516794682,57
419673,82539734,2.1553834902803413,0.3100529516794682,196
419674,82539815,2.1553834902803413,0.3100529516794682,81
419675,82540001,2.1553834902803413,0.3100529516794682,186
419676,82540017,2.1553834902803413,0.3100529516794682,16
419677,82540034,2.1553834902803413,0.3100529516794682,17
419678,82540101,2.1553834902803413,0.3100529516794682,67
419679,82540403,2.1553834902803413,0.3100529516794682,302
419680,82540564,2.1553834902803413,0.3100529516794682,161
419681,82540937,2.1553834902803413,0.3100529516794682,373
419682,82541150,2.1553834902803413,0.3100529516794682,213
419683,82541535,2.1553834902803413,0.3100529516794682,385
419684,82541811,2.1553834902803413,0.3100529516794682,276
419685,82542093,2.1553834902803413,0.3100529516794682,282
419686,82542381,2.1553834902803413,0.3100529516794682,288
419687,82542684,2.1553834902803413,0.3100529516794682,303
419688,82543010,2.1553834902803413,0.3100529516794682,326
419689,82543013,2.1553834902803413,0.3100529516794682,3
419690,82543223,2.1553834902803413,0.3100529516794682,210
419691,82543411,2.1553834902803413,0.3100529516794682,188
419692,82543583,2.1553834902803413,0.3100529516794682,172
419693,82543800,2.1553834902803413,0.3100529516794682,217
419694,82544061,2.1553834902803413,0.3100529516794682,261
419695,82544277,2.1553834902803413,0.3100529516794682,216
419696,82544537,2.1553834902803413,0.3100529516794682,260
419697,82544646,2.1553834902803413,0.3100529516794682,109
419698,82544695,2.1553834902803413,0.3100529516794682,49
419699,82545087,2.1553834902803413,0.3100529516794682,392
419700,82545362,2.1553834902803413,0.3100529516794682,275
419701,82545538,2.1553834902803413,0.3100529516794682,176
419702,82545880,2.1553834902803413,0.3100529516794682,342
419703,82546071,2.1553834902803413,0.3100529516794682,191
419704,82546454,2.1553834902803413,0.3100529516794682,383
419705,82546604,2.1553834902803413,0.3100529516794682,150
419706,82546939,2.1553834902803413,0.3100529516794682,335
419707,82547008,2.1553834902803413,0.3100529516794682,69
419708,82547076,2.1553834902803413,0.3100529516794682,68
419709,82547410,2.1553834902803413,0.3100529516794682,334
419710,82547633,2.1553834902803413,0.3100529516794682,223
419711,82547858,2.1553834902803413,0.3100529516794682,225
419712,82548141,2.1553834902803413,0.3100529516794682,283
419713,82548491,2.1553834902803413,0.3100529516794682,350
419714,82548884,2.1553834902803413,0.3100529516794682,393
419715,82549207,2.1553834902803413,0.3100529516794682,323
419716,82549461,2.1553834902803413,0.3100529516794682,254
419717,82549770,2.1553834902803413,0.3100529516794682,309
419718,82549947,2.1553834902803413,0.3100529516794682,177
419719,82550020,2.1553834902803413,0.3100529516794682,73
419720,82550325,2.1553834902803413,0.3100529516794682,305
419721,82550470,2.1553834902803413,0.3100529516794682,145
419722,82550529,2.1553834902803413,0.3100529516794682,59
419723,82550627,2.1553834902803413,0.3100529516794682,98
419724,82550928,2.1553834902803413,0.3100529516794682,301
419725,82551086,2.1553834902803413,0.3100529516794682,158
419726,82551101,2.1553834902803413,0.3100529516794682,15
419727,82551416,2.1553834902803413,0.3100529516794682,315
419728,82551528,2.1553834902803413,0.3100529516794682,112
419729,82551721,2.1553834902803413,0.3100529516794682,193
419730,82551904,2.1553834902803413,0.3100529516794682,183
419731,82552139,2.1553834902803413,0.3100529516794682,235
419732,82552264,2.1553834902803413,0.3100529516794682,125
419733,82552290,2.1553834902803413,0.3100529516794682,26
419734,82552335,2.1553834902803413,0.3100529516794682,45
419735,82552436,2.1553834902803413,0.3100529516794682,101
419736,82552459,2.1553834902803413,0.3100529516794682,23
419737,82552739,2.1553834902803413,0.3100529516794682,280
419738,82552805,2.1553834902803413,0.3100529516794682,66
419739,82552849,2.1553834902803413,0.3100529516794682,44
419740,82552853,2.1553834902803413,0.3100529516794682,4
419741,82553057,2.1553834902803413,0.3100529516794682,204
419742,82553334,2.1553834902803413,0.3100529516794682,277
419743,82553371,2.1553834902803413,0.3100529516794682,37
419744,82553574,2.1553834902803413,0.3100529516794682,203
419745,82553914,2.1553834902803413,0.3100529516794682,340
419746,82554164,2.1553834902803413,0.3100529516794682,250
419747,82554248,2.1553834902803413,0.3100529516794682,84
419748,82554592,2.1553834902803413,0.3100529516794682,344
419749,82554920,2.1553834902803413,0.3100529516794682,328
419750,82555069,2.1553834902803413,0.3100529516794682,149
419751,82555215,2.1553834902803413,0.3100529516794682,146
419752,82555272,2.1553834902803413,0.3100529516794682,57
419753,82555468,2.1553834902803413,0.3100529516794682,196
419754,82555549,2.1553834902803413,0.3100529516794682,81
419755,82555735,2.1553834902803413,0.3100529516794682,186
419756,82555751,2.1553834902803413,0.3100529516794682,16
419757,82555768,2.1553834902803413,0.3100529516794682,17
